date,cases,deaths,county,state
2020-01-31,0,0,clark,wisconsin
2020-01-31,0,0,clarke,alabama
2020-01-31,0,0,clarke,georgia
2020-01-31,0,0,clarke,iowa
2020-01-31,0,0,clarke,mississippi
2020-01-31,0,0,clarke,virginia
2020-01-31,0,0,clatsop,oregon
2020-01-31,0,0,clay,alabama
2020-01-31,0,0,clay,arkansas
2020-01-31,0,0,clay,florida
2020-01-31,0,0,clay,georgia
2020-01-31,0,0,clay,illinois
2020-01-31,0,0,clay,indiana
2020-01-31,0,0,clay,iowa
2020-01-31,0,0,clay,kansas
2020-01-31,0,0,clay,kentucky
2020-01-31,0,0,clay,minnesota
2020-01-31,0,0,clay,mississippi
2020-01-31,0,0,clay,missouri
2020-01-31,0,0,clay,nebraska
2020-01-31,0,0,clay,north carolina
2020-01-31,0,0,clay,south dakota
2020-01-31,0,0,clay,tennessee
2020-01-31,0,0,clay,texas
2020-01-31,0,0,clay,west virginia
2020-01-31,0,0,clayton,georgia
2020-01-31,0,0,clayton,iowa
2020-01-31,0,0,clear creek,colorado
2020-01-31,0,0,clearfield,pennsylvania
2020-01-31,0,0,clearwater,idaho
2020-01-31,0,0,clearwater,minnesota
2020-01-31,0,0,cleburne,alabama
2020-01-31,0,0,cleburne,arkansas
2020-01-31,0,0,clermont,ohio
2020-01-31,0,0,cleveland,arkansas
2020-01-31,0,0,cleveland,north carolina
2020-01-31,0,0,cleveland,oklahoma
2020-01-31,0,0,clinch,georgia
2020-01-31,0,0,clinton,illinois
2020-01-31,0,0,clinton,indiana
2020-01-31,0,0,clinton,iowa
2020-01-31,0,0,clinton,kentucky
2020-01-31,0,0,clinton,michigan
2020-01-31,0,0,clinton,missouri
2020-01-31,0,0,clinton,new york
2020-01-31,0,0,clinton,ohio
2020-01-31,0,0,clinton,pennsylvania
2020-01-31,0,0,cloud,kansas
2020-01-31,0,0,coahoma,mississippi
2020-01-31,0,0,coal,oklahoma
2020-01-31,0,0,coamo,puerto rico
2020-01-31,0,0,cobb,georgia
2020-01-31,0,0,cochise,arizona
2020-01-31,0,0,cochran,texas
2020-01-31,0,0,cocke,tennessee
2020-01-31,0,0,coconino,arizona
2020-01-31,0,0,codington,south dakota
2020-01-31,0,0,coffee,alabama
2020-01-31,0,0,coffee,georgia
2020-01-31,0,0,coffee,tennessee
2020-01-31,0,0,coffey,kansas
2020-01-31,0,0,coke,texas
2020-01-31,0,0,colbert,alabama
2020-01-31,0,0,cole,missouri
2020-01-31,0,0,coleman,texas
2020-01-31,0,0,coles,illinois
2020-01-31,0,0,colfax,nebraska
2020-01-31,0,0,colfax,new mexico
2020-01-31,0,0,colleton,south carolina
2020-01-31,0,0,collier,florida
2020-01-31,0,0,collin,texas
2020-01-31,0,0,collingsworth,texas
2020-01-31,0,0,colonial heights,virginia
2020-01-31,0,0,colorado,texas
2020-01-31,0,0,colquitt,georgia
2020-01-31,0,0,columbia,arkansas
2020-01-31,0,0,columbia,florida
2020-01-31,0,0,columbia,georgia
2020-01-31,0,0,columbia,new york
2020-01-31,0,0,columbia,oregon
2020-01-31,0,0,columbia,pennsylvania
2020-01-31,0,0,columbia,washington
2020-01-31,0,0,columbia,wisconsin
2020-01-31,0,0,columbiana,ohio
2020-01-31,0,0,columbus,north carolina
2020-01-31,0,0,colusa,california
2020-01-31,0,0,comal,texas
2020-01-31,0,0,comanche,kansas
2020-01-31,0,0,comanche,oklahoma
2020-01-31,0,0,comanche,texas
2020-01-31,0,0,comerio,puerto rico
2020-01-31,0,0,concho,texas
2020-01-31,0,0,concordia,louisiana
2020-01-31,0,0,conecuh,alabama
2020-01-31,0,0,conejos,colorado
2020-01-31,0,0,contra costa,california
2020-01-31,0,0,converse,wyoming
2020-01-31,0,0,conway,arkansas
2020-01-31,0,0,cook,georgia
2020-01-31,2,0,cook,illinois
2020-01-31,0,0,cook,minnesota
2020-01-31,0,0,cooke,texas
2020-01-31,0,0,cooper,missouri
2020-01-31,0,0,coos,new hampshire
2020-01-31,0,0,coos,oregon
2020-01-31,0,0,coosa,alabama
2020-01-31,0,0,copiah,mississippi
2020-01-31,0,0,copper river,alaska
2020-01-31,0,0,corozal,puerto rico
2020-01-31,0,0,corson,south dakota
2020-01-31,0,0,cortland,new york
2020-01-31,0,0,coryell,texas
2020-01-31,0,0,coshocton,ohio
2020-01-31,0,0,costilla,colorado
2020-01-31,0,0,cottle,texas
2020-01-31,0,0,cotton,oklahoma
2020-01-31,0,0,cottonwood,minnesota
2020-01-31,0,0,covington,alabama
2020-01-31,0,0,covington,mississippi
2020-01-31,0,0,covington,virginia
2020-01-31,0,0,coweta,georgia
2020-01-31,0,0,cowley,kansas
2020-01-31,0,0,cowlitz,washington
2020-01-31,0,0,craig,oklahoma
2020-01-31,0,0,craig,virginia
2020-01-31,0,0,craighead,arkansas
2020-01-31,0,0,crane,texas
2020-01-31,0,0,craven,north carolina
2020-01-31,0,0,crawford,arkansas
2020-01-31,0,0,crawford,georgia
2020-01-31,0,0,crawford,illinois
2020-01-31,0,0,crawford,indiana
2020-01-31,0,0,crawford,iowa
2020-01-31,0,0,crawford,kansas
2020-01-31,0,0,crawford,michigan
2020-01-31,0,0,crawford,missouri
2020-01-31,0,0,crawford,ohio
2020-01-31,0,0,crawford,pennsylvania
2020-01-31,0,0,crawford,wisconsin
2020-01-31,0,0,creek,oklahoma
2020-01-31,0,0,crenshaw,alabama
2020-01-31,0,0,crisp,georgia
2020-01-31,0,0,crittenden,arkansas
2020-01-31,0,0,crittenden,kentucky
2020-01-31,0,0,crockett,tennessee
2020-01-31,0,0,crockett,texas
2020-01-31,0,0,crook,oregon
2020-01-31,0,0,crook,wyoming
2020-01-31,0,0,crosby,texas
2020-01-31,0,0,cross,arkansas
2020-01-31,0,0,crow wing,minnesota
