"","date","Division","POP_ESTIMATE_2019_log","Median_Household_Income_2019_log","median_listing_price_log","total_listing_count_log","cases_per_1000_log","deaths_per_1000_log","county_land_area_log","median_listing_price_clas"
"4486",2020-06-30,"West South Central",11.7488193837697,11.3274629806237,12.562172424093,6.79682371827486,2.22454925881015,-0.780621094241146,5.71343573168434,3
"10508",2020-08-31,"Pacific",11.1089792028313,11.0617671421902,12.8076526325646,5.71042701737487,1.57642839937346,-4.2012239238492,6.95758299994141,3
"1105",2021-01-31,"Pacific",15.0209812399112,11.3335116765173,13.6528845639118,9.05427118632629,4.26697644674368,-0.242678116421352,8.41757615038548,1
"7235",2020-11-30,"East North Central",11.7048177426208,10.8567464625103,11.6733421863761,5.92425579741453,3.4441136868563,-0.75401119580411,6.21532783934654,2
"6771",2020-09-30,"East North Central",11.484947712211,10.7661243110747,11.8597015767297,6.00881318544259,1.92108971624758,-0.913630787099211,7.2216604994742,3
"8907",2020-03-31,"East South Central",12.1615092858235,11.1475124550882,12.766646545758,6.71417052990947,-0.038818249232397,-3.86745964572149,6.29740393583059,3
"1593",2020-11-30,"New England",12.10256042073,11.3023896016951,12.8542224601594,7.15148546390474,3.21769397855374,-0.0828173533912846,6.8507933164326,3
"7762",2020-06-30,"Pacific",12.3056645547251,10.9396391598616,13.0433201700639,7.14598446771439,-0.661710827348499,0,7.93806731339145,3
"2542",2020-08-31,"South Atlantic",11.6476399075151,11.457021558025,12.9715404876697,6.81783057145415,2.62085527452527,-1.10229846880662,5.29466068904449,3
"2498",2020-06-30,"South Atlantic",11.3845919684187,10.5158042151815,11.7134143257196,5.55682806169954,3.07435017785963,0.560115912977105,5.81314497169333,2
"6850",2020-04-30,"East North Central",11.5315803750674,10.8722378983826,11.6565928147826,5.73009978297357,0.909564392642261,-1.18983789160011,6.28267787732358,2
"10527",2021-01-31,"Pacific",13.7156681229904,11.2744017428673,13.2356563477878,7.54802896993501,3.62605588995234,-0.661583586339318,7.49924065078233,1
"925",2020-01-31,"Pacific",11.9660817208521,11.0203489748721,12.7425660160447,6.70196036600254,0,0,7.67479862355176,3
"238",2021-02-28,"East South Central",12.8290897010325,11.1361790004439,12.8717586971927,6.08221891037645,4.46473358881141,0.198962996900546,6.70059579904074,3
"3112",2020-04-30,"East North Central",10.7977984888022,11.0297150082372,11.6262541502772,5.7268477475872,-0.0833807200497668,0,6.71615884316606,2
"8303",2020-01-31,"Middle Atlantic",12.8194133405139,11.0888278447141,12.4680522206296,6.62140565176413,0,0,5.85315030630702,3
"6385",2020-01-31,"West North Central",10.8978868150766,10.9750026733199,12.0793749924842,5.41164605185504,0,0,6.72514167954788,3
"101",2020-03-31,"East South Central",10.8030796347872,10.7170808861719,11.8415095287424,5.29330482472449,0,0,6.33278216872567,3
"1700",2020-06-30,"South Atlantic",12.3640374708194,11.079662553152,12.8088847499085,7.7066129139642,2.99498484946282,-0.225173574982665,7.08648706692553,3
"5096",2021-02-28,"New England",13.2449650071887,11.1542055744098,13.0158911328938,6.20859002609663,4.59113592440898,0.976677103426871,6.53851601927802,3
"2703",2020-01-31,"South Atlantic",11.0257349843017,10.8475879850496,12.0373580921424,6.24804287450843,0,0,6.4012204366333,3
"2469",2020-05-31,"South Atlantic",11.908400841449,11.2801355366042,12.7798730684576,7.22329567956231,1.03244065933191,-2.80342098513067,6.10034137329337,3
"7013",2021-01-31,"East North Central",10.9727740118224,10.9456000339648,11.7745202026587,5.16478597392351,4.33496625767042,0.569710255389362,6.2044365431007,3
"5796",2021-02-28,"West North Central",12.969261147761,11.397233990474,12.9396297357151,6.96508034560141,4.43475589017038,-0.0979265251604578,6.37393393542183,3
"403",2020-11-30,"Pacific",11.4809083435366,11.2128468721819,12.2543865058087,5.35185813347607,3.58163450821405,-1.73993972049826,8.91512062919709,3
"1981",2020-07-31,"South Atlantic",12.9073194355134,11.0689949583868,12.7329807501262,8.17751582384608,3.05025528860981,-0.795557469454477,6.79440739349081,3
"3566",2020-10-31,"East North Central",11.0939038816793,10.7686744457591,11.289781913656,5.41610040220442,3.10686907707564,-0.44847898441377,6.02789290372153,2
"2945",2020-05-31,"Mountain",11.3829078916455,10.8838041741748,12.6048487654875,5.96870755998537,-1.14294810248816,0,7.0453409419347,3
"691",2020-05-31,"West South Central",11.0677627300035,10.7688849100441,12.1960223096767,5.67675380226828,0.837204822742734,-4.16000745102138,6.72243723720791,3
"6031",2020-11-30,"East South Central",12.2456779001225,10.8121291038787,12.4505862225806,6.96696713861398,3.55000619786291,-0.628392419828062,6.88364699563817,3
"6583",2020-03-31,"West North Central",10.8129349219283,11.0784279660417,12.266461945543,5.21493575760899,-2.11342017371809,0,6.88275536918081,3
"5170",2020-04-30,"New England",13.4684676481173,11.5791906196179,13.4186830382517,7.03262426102801,2.18695742096203,-0.348106273383688,6.09575699258187,1
"3446",2020-02-29,"East North Central",12.846080091238,10.9479603951036,12.3863086958331,6.29710931993394,0,0,6.49245193373807,3
"5584",2020-12-31,"East North Central",14.0447029779298,11.3053722503271,12.8199060193704,7.87473912517181,3.88487306686874,0.263061818214996,6.81132146814083,3
"6062",2021-02-28,"East South Central",11.8749053129905,10.8858281628718,12.1518804164467,5.99146454710798,4.47231596095958,0.453384965263928,6.95020155364489,3
"3506",2020-06-30,"East North Central",10.8088791035413,11.1753666382237,12.4966879119594,4.99721227376411,1.41208215448264,-0.765629608629995,5.7271082999597,3
"6097",2020-07-31,"East South Central",11.0563196824064,11.0446163991406,12.4682445838119,5.98393628068719,2.83615191669395,-1.66365775363631,6.21564755799685,3
"105",2020-07-31,"East South Central",10.8030796347872,10.7170808861719,11.8841441343498,5.06259503302697,2.74193367547936,-1.00495259790893,6.33278216872567,3
"6223",2020-07-31,"West North Central",12.103281049593,10.9686981645702,12.5776362019627,6.12468339089421,1.85372907064502,-4.09691348194271,6.5384147497926,3
"4891",2020-05-31,"South Atlantic",12.0030809252393,11.5377156337774,12.8239573415896,6.29894924685594,1.91498622105006,-0.818659527241115,6.46656454278888,3
"8419",2020-05-31,"Middle Atlantic",11.4168880207733,10.7782685534535,11.4876076569859,5.66296048013595,0.748362630236663,-3.41052045312301,6.16835471390473,2
"4759",2021-01-31,"New England",12.5947408047618,11.2286243373446,13.0583580474284,6.01859321449623,3.63641563848056,-0.637129518530098,7.10415230988064,3
"3453",2020-09-30,"East North Central",12.846080091238,10.9479603951036,12.3189548025868,6.21060007702465,2.82744573173142,-0.600786732554521,6.49245193373807,3
"9943",2020-03-31,"New England",10.9752252665317,11.0955750050628,12.6113710730812,5.75890177387728,-1.35941978644735,0,6.54510537762626,3
"2384",2020-04-30,"South Atlantic",12.5756687505574,10.9529446104061,12.6759184498222,7.66387725870347,-0.247378472303004,-3.47068889423907,6.47129473717145,3
"8608",2020-12-31,"East South Central",10.9423498367985,10.9138331311591,12.5421876755035,4.75359019110636,4.4656559128696,0.155060184210097,6.07417292948087,3
"10958",2020-10-31,"East North Central",11.0735208734325,11.0627558350776,12.4486265903642,5.70044357339069,3.43313486242105,-1.96854101711414,6.74348187010866,3
"4811",2020-09-30,"South Atlantic",11.1621757890509,10.7824916996243,11.6526874073454,5.4971682252932,1.90678681162634,-1.11892629413959,6.06318037464958,2
"9399",2020-05-31,"West South Central",12.0771989603544,11.1055284920122,12.5602444592508,6.96790920180188,-0.00465770744870177,-3.78314932025233,6.59909468814516,3
"6164",2020-04-30,"East South Central",10.8114839815855,10.6366003610391,12.5152103900112,5.47227067367148,0.0280969301210027,-2.80511641393522,6.13543501251801,3
"9643",2020-11-30,"West South Central",11.1084099058977,10.9560908061077,12.4879378326604,6.14418563412565,3.33996690174164,0.230162171927796,6.56118624078144,3
"2971",2020-03-31,"Mountain",12.3451778505614,10.9796838019199,12.6914266033225,6.36990098282823,-1.56622156067141,-5.4374225715793,6.40277918000504,3
"9625",2020-07-31,"West South Central",10.9042297208797,10.933749620316,12.1518804164467,5.02388052084628,1.79653916648655,-1.91703290021776,6.84449593934295,3
"253",2020-01-31,"East South Central",12.93171121729,10.8095663193339,12.1001564199386,7.31721240835984,0,0,7.40497273014123,3
"8567",2021-01-31,"East South Central",11.7987658425426,10.99151063965,12.8163978431399,6.08904487544685,4.55400659554356,0.071834066699407,6.33975947660111,3
"10897",2020-05-31,"East North Central",11.1672187212329,10.9724650360745,12.4171436156101,5.14166355650266,-1.86156816945238,0,6.71273746472694,3
"6497",2020-01-31,"Mountain",11.306712774316,10.8538318245351,12.4624575306242,5.88887795833288,0,0,7.90534577425795,3
"3836",2021-02-28,"East North Central",11.050858258838,11.2853219829339,12.3673407931263,3.80666248977032,4.76775260754938,0.867532314240386,5.96837502388295,3
"5801",2020-05-31,"West North Central",10.7437607979864,11.1774107697599,12.594730635322,5.57215403217776,0.353649223022194,-2.73739323033612,6.65989630231735,3
"9998",2020-02-29,"South Atlantic",11.2326558522339,11.0606988835072,12.6112043647371,4.99721227376411,0,0,6.87964382882106,3
"957",2020-05-31,"Pacific",11.3707741703651,10.8649237193783,13.3831879956862,6.01859321449623,-1.06182150972085,0,8.26320375993093,1
"1674",2020-08-31,"South Atlantic",12.1050692903138,10.9819651587839,12.6011506607519,6.16120732169508,2.67514113873236,-0.478815140036524,6.68478671235721,3
"88",2020-04-30,"East South Central",11.3358063519673,10.8375592617054,12.4296161168657,6.5206211275587,-0.367608062438741,-4.42805107298516,6.62653230159109,3
"7252",2021-02-28,"East North Central",11.2472136035472,10.9101307404408,12.04296530766,4.90527477843843,4.38034912691285,0.602184098044199,6.5410299991899,3
"4774",2021-02-28,"New England",11.7142486747713,10.9215764624713,12.586219945654,5.50533153593236,3.38966774349372,-0.874667763064852,6.85776639663707,3
"5806",2020-10-31,"West North Central",10.7437607979864,11.1774107697599,12.6112043647371,5.53733426701854,2.72785000752789,-1.43811024620586,6.65989630231735,3
"3481",2020-09-30,"East North Central",11.1249514911861,11.3402017016479,13.0710700830168,5.83773044716594,2.69355457575793,-0.285370579479685,6.04810477115523,3
"9441",2020-05-31,"West South Central",10.8169543007192,10.7591999115243,12.1807548375459,5.58724865840025,1.06753472068353,-1.51130374893867,6.83790132258225,3
"7477",2020-01-31,"West South Central",11.701469289907,10.8431822621893,11.7280368445872,6.28599809450886,0,0,6.9883301527225,2
"9369",2020-03-31,"West South Central",11.4987656868122,10.9597662881882,12.2302480512214,5.9427993751267,-3.20471604671017,0,6.78229409161731,3
"8845",2020-11-30,"East South Central",11.181820797143,11.09422313008,12.6539265201301,5.59842195899838,3.99338344014396,-0.303773604608768,6.16692931643872,3
"6784",2020-08-31,"East North Central",11.0871607060702,10.6832939647565,12.1495022940418,5.0998664278242,1.78417391653042,-3.08079313841992,6.23162252858132,3
"6367",2020-11-30,"West North Central",11.7062529009407,10.736853093036,11.9640010843304,6.64509096950564,4.2214083731131,-0.135058527846513,6.46360651348043,3
"3721",2020-11-30,"East North Central",13.7794501258582,10.83381924711,12.3324850078846,8.19505769089508,3.86754560730774,-0.0247517072906831,5.99920947755543,3
"2182",2020-12-31,"South Atlantic",12.4862466024916,11.4168439877925,12.8648742103153,8.13153071060425,3.89973649359029,-0.851103504797154,6.7110954182469,3
"11042",2020-10-31,"East North Central",11.1982010214066,10.9564921077261,11.982303898822,5.73009978297357,3.33025934441384,-1.65138841280917,6.6964291263459,3
"7500",2020-10-31,"West South Central",11.1777603736622,10.9102951765623,12.0435243038352,5.2040066870768,3.12939298865127,-0.606443448550437,6.87711048726743,3
"8189",2021-01-31,"Middle Atlantic",13.2476682750166,11.2487385404666,12.9666448024049,7.08422642209792,4.18788063977071,0.695355603246684,5.25106851394743,3
"3369",2020-09-30,"East North Central",11.7890636625517,11.1005263722591,11.7729793703045,6.66695679242921,2.61922110182569,-1.58547151756527,6.48911374175734,3
"7959",2020-07-31,"Middle Atlantic",11.0780572924927,10.937721307268,12.0394275681212,5.32300997913841,1.01708379233015,-2.37854254428256,6.49900477988244,3
"6052",2020-04-30,"East South Central",11.8749053129905,10.8858281628718,12.0951410848229,6.57228254269401,0.589678027691177,-3.1753905647803,6.95020155364489,3
"10827",2020-05-31,"East North Central",11.2769625961938,11.0239591755571,12.2055725204885,5.64544689764324,-0.785688378755513,-4.36920731721163,7.30911195904576,3
"8829",2020-09-30,"East South Central",10.8852288894728,10.8309358071062,12.4966879119594,5.49306144334055,2.84363386176578,-2.18571414126263,5.97886044812496,3
"10208",2020-02-29,"South Atlantic",13.0612004857467,11.5731547145197,13.0815392995486,6.57228254269401,0,0,5.85521517841641,3
"797",2021-01-31,"Pacific",12.2976759634032,10.9749684238122,12.899094818277,6.2363695902037,3.8379648667709,-0.46266699926383,7.42489293986181,3
"156",2020-02-29,"East South Central",10.8517807005358,10.6992364467568,12.1007121298723,4.969813299576,0,0,7.02715478522347,3
"6878",2020-04-30,"East North Central",10.8417941469679,10.9477140506776,11.7924493497205,5.53733426701854,0.396694472300548,-1.73681429064957,6.39756278807856,3
"1223",2020-05-31,"Pacific",13.0117513187235,11.3586547779424,13.1019565676267,6.97447891102505,0.1440468347671,-3.01295358638301,6.80997705606343,3
"9704",2020-02-29,"West South Central",14.057636007712,11.2983699308426,13.0170028617465,8.18952211074809,0,0,6.92970266346496,3
"8154",2020-06-30,"Middle Atlantic",12.4426061499631,11.2288236424348,12.5942220314287,6.22059017009974,1.21273565584831,-1.37596778762134,6.31209771969945,3
"3785",2020-05-31,"East North Central",12.184501655602,10.844041536546,12.5425448821514,5.58724865840025,0.719705711999128,-4.17813408795178,6.22082871023525,3
"3085",2020-05-31,"East North Central",13.735298919356,11.4757841882895,12.9360337992128,8.54364036143109,2.12234064540409,-0.905965220730091,5.81969709925256,3
"563",2020-03-31,"West South Central",10.6438045375725,10.6442337118954,12.1919737211507,5.92958914338989,-3.73604925859033,0,6.37464996252506,3
"4864",2020-06-30,"South Atlantic",12.0343764392371,11.5308636101012,12.8928244190013,5.95064255258773,1.89178063881423,-0.408122288959875,6.1146330550407,3
"6535",2020-11-30,"Mountain",11.647753516569,11.2081786138919,13.787368252018,6.68085467879022,4.1661240932974,-1.79555925842045,7.83705305134748,1
"638",2020-08-31,"West South Central",11.744092739946,10.9764742935653,12.3737034869141,5.8111409929767,2.59791992116925,-2.63911288362766,6.49835744784626,3
"10907",2020-01-31,"East North Central",12.1874554153731,11.029893332155,12.3883942023241,6.41999492814714,0,0,6.67453613897032,3
"3826",2020-04-30,"East North Central",11.050858258838,11.2853219829339,12.3842188309136,4.49980967033027,0.421245211611964,-1.50404565024061,5.96837502388295,3
"1476",2020-06-30,"Mountain",13.2757383278599,11.4041814539645,13.296148603176,7.93415523353632,1.52633501496385,-1.02564879691297,6.65698356055045,1
"9370",2020-04-30,"West South Central",11.4987656868122,10.9597662881882,12.2033188573336,5.91350300563827,-0.806820773911798,-3.49239811916195,6.78229409161731,3
"2857",2020-01-31,"South Atlantic",11.5581664812158,10.8802146532141,12.16785143271,5.87773578177964,0,0,5.67222300574844,3
"3523",2020-09-30,"East North Central",11.6451372372787,10.7344817997882,11.6526874073454,5.72358510195238,2.88381320451325,-0.610247573251504,5.98128794065642,2
"6712",2020-06-30,"Mountain",13.0637146771685,11.1807061717507,13.1843987683238,7.76853330092603,1.72861711241,-1.83847128465001,8.78744625730397,1
"2919",2020-07-31,"Pacific",12.0282429850474,11.2564190099869,13.5886099577724,7.21964204013074,0.0211758504373862,-3.32872823683722,7.78275307212589,1
"2585",2020-09-30,"South Atlantic",13.8774867366044,11.2801733993769,12.9347076190197,9.47178113322274,3.25887845033949,-0.61362379692637,6.28150009795561,3
"5558",2021-02-28,"East North Central",11.064886829303,10.8607090730122,12.1410006487865,5.07517381523383,4.00338669715664,0.320205264157342,6.58066687615126,3
"8496",2020-12-31,"Middle Atlantic",10.8330498266035,10.8896587618585,11.5119249646366,5.15905529921453,3.83857674019883,-0.0751469459113275,6.52661198301904,2
"5342",2020-08-31,"East North Central",12.9136477413462,10.8307973508927,12.2968270087986,7.1074254741107,2.27987295815028,-0.285580685756639,6.47600266211259,3
